Generation, ID,x1, y1, z1, power1, velocity1, x2, y2, z2, power2, velocity2, x3, y3, z3, power3, velocity3, fitness(distance from start), parent1, parent2
0.000000000000000000e+00,1.000000000000000000e+00,4.170564334388206507e-01,4.596961810723331210e-01,7.357048049849652660e-01,-9.442071390326670866e+00,8.681263241149354215e+00,5.560186218706679728e-01,6.906227031564315944e-01,6.933064464889702183e-01,3.272190177616940421e+00,9.690251974048560868e+00,5.063852720006097874e-01,4.728617169569605538e-01,8.631345241942349755e-01,9.436443450112966147e+00,7.542792720485854474e+00,7.477636063459071281e+00,nan,nan
0.000000000000000000e+00,2.000000000000000000e+00,4.042587110220273172e-01,4.786542476526695067e-01,5.971568090398817752e-01,9.948498182168306059e+00,7.668450668707849971e+00,7.467897105189388318e-01,4.461569896851063644e-01,4.105944702307545158e-01,-6.091420259953461702e+00,5.005503843922546992e+00,5.127186042860091275e-01,4.558052653658624109e-01,5.921849868705590936e-01,-6.986657520330609827e+00,6.681462328382103522e+00,6.194698347972492414e+00,nan,nan
0.000000000000000000e+00,3.000000000000000000e+00,4.096860257411227835e-01,4.876015367257741095e-01,5.983874609736332673e-01,1.634932728125326751e+00,8.235076113804874254e+00,6.576717036996482246e-01,8.022059994250825277e-01,4.264740199272351595e-01,-6.085566050681165962e+00,7.721538774429724583e+00,6.560224389574704773e-01,6.061017541350113280e-01,4.663125419407372352e-01,-3.964297813198025544e-01,5.344919739576300621e+00,4.921571014885620876e+00,nan,nan
0.000000000000000000e+00,4.000000000000000000e+00,7.605320333560505741e-01,5.217850506971053459e-01,5.277429442977357166e-01,-1.306270833026115241e+00,8.702394393327690381e+00,4.478563964854442858e-01,6.648964236248828819e-01,8.786382804733410268e-01,8.873488850367204250e+00,6.861953846618465747e+00,8.305671585982563609e-01,5.486314993471876900e-01,7.164949170325187744e-01,-3.175197313426205703e+00,8.448751603159543322e+00,4.766286744846468970e+00,nan,nan
0.000000000000000000e+00,5.000000000000000000e+00,7.282867559942480806e-01,4.390989673321535336e-01,8.967312205073558751e-01,3.816402620552470371e+00,7.672181878098656149e+00,6.460670407148193517e-01,7.417352466125586297e-01,8.412342727645369944e-01,1.389869254601034942e+00,6.941045073442477786e+00,7.680234492959796544e-01,5.612962410828072901e-01,4.844249046561354688e-01,-6.147090899637655426e+00,9.625364141844432453e+00,4.162312431819822578e+00,nan,nan
0.000000000000000000e+00,6.000000000000000000e+00,8.287450526491086933e-01,8.284539955502977504e-01,5.969544790587855143e-01,6.562812651198988156e+00,8.894236049007036016e+00,6.876537555095720844e-01,5.498956506152850032e-01,7.091425152173569391e-01,1.770978605149098328e-01,9.247107737363108981e+00,5.355651124831926069e-01,5.144113593452479538e-01,5.234196662856873683e-01,-4.993986808432571145e+00,7.421646946083111374e+00,3.859562943261172663e+00,nan,nan
0.000000000000000000e+00,7.000000000000000000e+00,4.109631367852694117e-01,4.191996389259589617e-01,7.592814417811872829e-01,1.578413279337680386e+00,5.478839261972200170e+00,7.216658383699693369e-01,6.419098597689749663e-01,6.874510345590134630e-01,-4.482932375891309107e+00,9.186205174174734367e+00,6.735421301735735611e-01,5.380723563505382945e-01,4.401404171085153139e-01,-8.101332445540645466e+00,7.335856324922673366e+00,3.771843783275391271e+00,nan,nan
0.000000000000000000e+00,8.000000000000000000e+00,4.227896034229817745e-01,6.338867484004708786e-01,5.763160077692335292e-01,-3.710165077672111789e+00,6.987329594163610658e+00,6.786201938464493377e-01,6.836810106788981933e-01,5.640923833453501679e-01,3.307317483812015624e+00,7.841760642339289156e+00,7.539605071445627527e-01,8.385891605658384318e-01,4.439509577233456405e-01,3.543812033827751229e+00,7.944251936803579994e+00,3.570167587154435385e+00,nan,nan
0.000000000000000000e+00,9.000000000000000000e+00,8.034177215578457432e-01,8.774803991472419629e-01,7.879398334639842183e-01,-2.763804374027352129e+00,6.080357163705741641e+00,8.070563523729801236e-01,7.738023585767750401e-01,7.736859870018875096e-01,5.882921162342520383e+00,5.244402352692628000e+00,6.694236052483959476e-01,6.112629916938756569e-01,8.318523109043798325e-01,-4.233989594904485898e+00,6.977798652902167831e+00,3.363972638093771117e+00,nan,nan
0.000000000000000000e+00,1.000000000000000000e+01,5.872145661281498175e-01,5.020009243331634563e-01,4.427872590671341202e-01,8.841373360020563510e+00,6.814312704273382870e+00,8.594046037381170011e-01,6.812855629554905867e-01,7.377116411262516493e-01,-6.521707103634066804e+00,5.777139845446046529e+00,5.003773330102794237e-01,5.750467050916406864e-01,8.179778286240875218e-01,-6.303991416816989712e-01,9.015627563163850056e+00,2.988924892363137520e+00,nan,nan
